"","Subject","Activity","CalcType","Domain","AccelType","Device","Magnitude","Jerk","Axis","Value"
"85",2,"STANDING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"Z",-0.00331094799732119
"86",2,"STANDING","Mean","Time","Body","Accelerometer",TRUE,FALSE,NA,-0.965204564900662
"87",2,"STANDING","Mean","Time","Body","Accelerometer",TRUE,TRUE,NA,-0.982405850496689
"88",2,"STANDING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"X",0.946168775264901
"89",2,"STANDING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"Y",-0.170152338311258
"90",2,"STANDING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"Z",0.0290399183845493
"91",2,"STANDING","Mean","Time","Gravity","Accelerometer",TRUE,FALSE,NA,-0.965204564900662
"92",2,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"X",-0.026250965036755
"93",2,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"Y",-0.0695328550905629
"94",2,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"Z",0.0794090553043046
"95",2,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"X",-0.100137288172185
"96",2,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"Y",-0.0416428984334437
"97",2,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"Z",-0.0534508383340066
"98",2,"STANDING","Mean","Time",NA,"Gyroscope",TRUE,FALSE,NA,-0.957115206059603
"99",2,"STANDING","Mean","Time",NA,"Gyroscope",TRUE,TRUE,NA,-0.983373003642384
"100",2,"STANDING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"X",-0.990587577880795
"101",2,"STANDING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"Y",-0.945832736423841
"102",2,"STANDING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"Z",-0.95026944013245
"103",2,"STANDING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"X",-0.987305714403974
"104",2,"STANDING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"Y",-0.972863615794702
"105",2,"STANDING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"Z",-0.985146839536424
"106",2,"STANDING","STD","Freq","Body","Accelerometer",TRUE,FALSE,NA,-0.961333521754967
"107",2,"STANDING","STD","Freq","Body","Accelerometer",TRUE,TRUE,NA,-0.978706925728477
"108",2,"STANDING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"X",-0.960537546655629
"109",2,"STANDING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"Y",-0.970551848344371
"110",2,"STANDING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"Z",-0.97107081218543
"111",2,"STANDING","STD","Freq",NA,"Gyroscope",TRUE,FALSE,NA,-0.948913574437086
"112",2,"STANDING","STD","Freq",NA,"Gyroscope",TRUE,TRUE,NA,-0.980369093609271
"113",2,"STANDING","STD","Time","Body","Accelerometer",FALSE,FALSE,"X",-0.989645370430464
"114",2,"STANDING","STD","Time","Body","Accelerometer",FALSE,FALSE,"Y",-0.946760790397351
"115",2,"STANDING","STD","Time","Body","Accelerometer",FALSE,FALSE,"Z",-0.953716775562914
"116",2,"STANDING","STD","Time","Body","Accelerometer",FALSE,TRUE,"X",-0.986080908576159
"117",2,"STANDING","STD","Time","Body","Accelerometer",FALSE,TRUE,"Y",-0.971136995662252
"118",2,"STANDING","STD","Time","Body","Accelerometer",FALSE,TRUE,"Z",-0.983844209172185
"119",2,"STANDING","STD","Time","Body","Accelerometer",TRUE,FALSE,NA,-0.959133502019868
"120",2,"STANDING","STD","Time","Body","Accelerometer",TRUE,TRUE,NA,-0.979469074006623
"121",2,"STANDING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"X",-0.991225858609271
"122",2,"STANDING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"Y",-0.975697027516556
"123",2,"STANDING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"Z",-0.962371556456954
"124",2,"STANDING","STD","Time","Gravity","Accelerometer",TRUE,FALSE,NA,-0.959133502019868
"125",2,"STANDING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"X",-0.959597301357616
"126",2,"STANDING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"Y",-0.971784549072848
"127",2,"STANDING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"Z",-0.968296963774834
"128",2,"STANDING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"X",-0.97410719781457
"129",2,"STANDING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"Y",-0.985109778576159
"130",2,"STANDING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"Z",-0.98191418
"131",2,"STANDING","STD","Time",NA,"Gyroscope",TRUE,FALSE,NA,-0.948411696721854
"132",2,"STANDING","STD","Time",NA,"Gyroscope",TRUE,TRUE,NA,-0.980582216622517
"133",3,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"X",-0.34854026033607
"134",3,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Y",-0.0310563805648592
"135",3,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Z",-0.173393586144545
"136",3,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"X",-0.354058797599795
"137",3,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Y",-0.301552316495308
"138",3,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Z",-0.378703374375073
"139",3,"WALKING","Mean","Freq","Body","Accelerometer",TRUE,FALSE,NA,-0.103496023471594
"140",3,"WALKING","Mean","Freq","Body","Accelerometer",TRUE,TRUE,NA,-0.106629493982581
"141",3,"WALKING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"X",-0.266484741042962
"142",3,"WALKING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"Y",-0.334713450993402
"143",3,"WALKING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"Z",-0.259271451587067
"144",3,"WALKING","Mean","Freq",NA,"Gyroscope",TRUE,FALSE,NA,-0.19367775546459
"145",3,"WALKING","Mean","Freq",NA,"Gyroscope",TRUE,TRUE,NA,-0.240984014900587
"146",3,"WALKING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"X",0.27301175627566
"147",3,"WALKING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"Y",-0.018802888781085
"148",3,"WALKING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"Z",-0.109854204753666
"149",3,"WALKING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"X",0.0792400975767449
"150",3,"WALKING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"Y",0.0105771330539634
"151",3,"WALKING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"Z",0.00497382973251906
"152",3,"WALKING","Mean","Time","Body","Accelerometer",TRUE,FALSE,NA,-0.157542121789736
"153",3,"WALKING","Mean","Time","Body","Accelerometer",TRUE,TRUE,NA,-0.286839090488504
"154",3,"WALKING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"X",0.910145628387097
"155",3,"WALKING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"Y",-0.197635783947214
"156",3,"WALKING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"Z",-0.133656609953079
"157",3,"WALKING","Mean","Time","Gravity","Accelerometer",TRUE,FALSE,NA,-0.157542121789736
"158",3,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"X",-0.0214305349214369
"159",3,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"Y",-0.0754215857692669
"160",3,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"Z",0.072533896228195
"161",3,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"X",-0.101806614009757
"162",3,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"Y",-0.0454088257808798
"163",3,"WALKING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"Z",-0.0470303265395894
"164",3,"WALKING","Mean","Time",NA,"Gyroscope",TRUE,FALSE,NA,-0.263981763855015
"165",3,"WALKING","Mean","Time",NA,"Gyroscope",TRUE,TRUE,NA,-0.527678532683284
"166",3,"WALKING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"X",-0.326755564675953
"167",3,"WALKING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"Y",-0.039437773822434
"168",3,"WALKING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"Z",-0.258482916451877
"169",3,"WALKING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"X",-0.358258762139883
"170",3,"WALKING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"Y",-0.143955313182581
"171",3,"WALKING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"Z",-0.546019943002933
"172",3,"WALKING","STD","Freq","Body","Accelerometer",TRUE,FALSE,NA,-0.499008511612903
"173",3,"WALKING","STD","Freq","Body","Accelerometer",TRUE,TRUE,NA,-0.330897350397067
"174",3,"WALKING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"X",-0.500988674433138
"175",3,"WALKING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"Y",-0.328115942110821
"176",3,"WALKING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"Z",-0.35797889670088
"177",3,"WALKING","STD","Freq",NA,"Gyroscope",TRUE,FALSE,NA,-0.486875716483871
"178",3,"WALKING","STD","Freq",NA,"Gyroscope",TRUE,TRUE,NA,-0.638490783211144
"179",3,"WALKING","STD","Time","Body","Accelerometer",FALSE,FALSE,"X",-0.329097361246041
"180",3,"WALKING","STD","Time","Body","Accelerometer",FALSE,FALSE,"Y",-2.57841427272726e-05
"181",3,"WALKING","STD","Time","Body","Accelerometer",FALSE,FALSE,"Z",-0.252217458049472
"182",3,"WALKING","STD","Time","Body","Accelerometer",FALSE,TRUE,"X",-0.342280489307302
"183",3,"WALKING","STD","Time","Body","Accelerometer",FALSE,TRUE,"Y",-0.153979216560674
"184",3,"WALKING","STD","Time","Body","Accelerometer",FALSE,TRUE,"Z",-0.516834346219062
"185",3,"WALKING","STD","Time","Body","Accelerometer",TRUE,FALSE,NA,-0.375313323621114
"186",3,"WALKING","STD","Time","Body","Accelerometer",TRUE,TRUE,NA,-0.316021650630499
"187",3,"WALKING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"X",-0.978009219765396
"188",3,"WALKING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"Y",-0.964912801583578
"189",3,"WALKING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"Z",-0.955128196686217
"190",3,"WALKING","STD","Time","Gravity","Accelerometer",TRUE,FALSE,NA,-0.375313323621114
"191",3,"WALKING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"X",-0.470254931129032
"192",3,"WALKING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"Y",-0.364767106630381
"193",3,"WALKING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"Z",-0.297326142693842
"194",3,"WALKING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"X",-0.438086556656892
"195",3,"WALKING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"Y",-0.608885379228739
"196",3,"WALKING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"Z",-0.50108800688563
"197",3,"WALKING","STD","Time",NA,"Gyroscope",TRUE,FALSE,NA,-0.420051324923754
"198",3,"WALKING","STD","Time",NA,"Gyroscope",TRUE,TRUE,NA,-0.612952161707918
"199",4,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"X",-0.470929128209748
"200",4,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Y",-0.49726901449336
"201",4,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Z",-0.46334939815847
"202",4,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"X",-0.391786018066719
"203",4,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Y",-0.556689819754259
"204",4,"STANDING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Z",-0.483894176191798
"205",4,"STANDING","Mean","Freq","Body","Accelerometer",TRUE,FALSE,NA,-0.467377209773801
"206",4,"STANDING","Mean","Freq","Body","Accelerometer",TRUE,TRUE,NA,-0.375508119446845
"207",4,"STANDING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"X",-0.577880721053943
"208",4,"STANDING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"Y",-0.616473968191167
"209",4,"STANDING","Mean","Freq",NA,"Gyroscope",FALSE,FALSE,"Z",-0.541682194126372
"210",4,"STANDING","Mean","Freq",NA,"Gyroscope",TRUE,FALSE,NA,-0.568686728094164
"211",4,"STANDING","Mean","Freq",NA,"Gyroscope",TRUE,TRUE,NA,-0.463175483100142
"212",4,"STANDING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"X",0.278804418264984
"213",4,"STANDING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"Y",-0.0165873135977918
"214",4,"STANDING","Mean","Time","Body","Accelerometer",FALSE,FALSE,"Z",-0.103463915215457
"215",4,"STANDING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"X",0.0747959881268139
"216",4,"STANDING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"Y",0.00851083979929653
"217",4,"STANDING","Mean","Time","Body","Accelerometer",FALSE,TRUE,"Z",-0.00598959722483281
"218",4,"STANDING","Mean","Time","Body","Accelerometer",TRUE,FALSE,NA,-0.942798453059937
"219",4,"STANDING","Mean","Time","Body","Accelerometer",TRUE,TRUE,NA,-0.972754732555205
"220",4,"STANDING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"X",0.951236140094637
"221",4,"STANDING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"Y",-0.14504349009694
"222",4,"STANDING","Mean","Time","Gravity","Accelerometer",FALSE,FALSE,"Z",0.0566513235661199
"223",4,"STANDING","Mean","Time","Gravity","Accelerometer",TRUE,FALSE,NA,-0.942798453059937
"224",4,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"X",-0.0276432368819874
"225",4,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"Y",-0.0696155590713565
"226",4,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,FALSE,"Z",0.0851065982637224
"227",4,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"X",-0.100897326987697
"228",4,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"Y",-0.0428428054495268
"229",4,"STANDING","Mean","Time",NA,"Gyroscope",FALSE,TRUE,"Z",-0.0535401740784227
"230",4,"STANDING","Mean","Time",NA,"Gyroscope",TRUE,FALSE,NA,-0.928936447823344
"231",4,"STANDING","Mean","Time",NA,"Gyroscope",TRUE,TRUE,NA,-0.974876390788644
"232",4,"STANDING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"X",-0.984500013753943
"233",4,"STANDING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"Y",-0.911682489466877
"234",4,"STANDING","STD","Freq","Body","Accelerometer",FALSE,FALSE,"Z",-0.92240539955836
"235",4,"STANDING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"X",-0.97856795318612
"236",4,"STANDING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"Y",-0.961085967697161
"237",4,"STANDING","STD","Freq","Body","Accelerometer",FALSE,TRUE,"Z",-0.979102622397476
"238",4,"STANDING","STD","Freq","Body","Accelerometer",TRUE,FALSE,NA,-0.937196491861199
"239",4,"STANDING","STD","Freq","Body","Accelerometer",TRUE,TRUE,NA,-0.965440514195584
"240",4,"STANDING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"X",-0.930662297570978
"241",4,"STANDING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"Y",-0.955299441892745
"242",4,"STANDING","STD","Freq",NA,"Gyroscope",FALSE,FALSE,"Z",-0.947696042334385
"243",4,"STANDING","STD","Freq",NA,"Gyroscope",TRUE,FALSE,NA,-0.915840919747634
"244",4,"STANDING","STD","Freq",NA,"Gyroscope",TRUE,TRUE,NA,-0.969081441735016
"245",4,"STANDING","STD","Time","Body","Accelerometer",FALSE,FALSE,"X",-0.982578503470032
"246",4,"STANDING","STD","Time","Body","Accelerometer",FALSE,FALSE,"Y",-0.9138584370347
"247",4,"STANDING","STD","Time","Body","Accelerometer",FALSE,FALSE,"Z",-0.927844490157729
"248",4,"STANDING","STD","Time","Body","Accelerometer",FALSE,TRUE,"X",-0.976294805930599
"249",4,"STANDING","STD","Time","Body","Accelerometer",FALSE,TRUE,"Y",-0.957623654479495
"250",4,"STANDING","STD","Time","Body","Accelerometer",FALSE,TRUE,"Z",-0.976308419211356
"251",4,"STANDING","STD","Time","Body","Accelerometer",TRUE,FALSE,NA,-0.933475981861199
"252",4,"STANDING","STD","Time","Body","Accelerometer",TRUE,TRUE,NA,-0.96597191895899
"253",4,"STANDING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"X",-0.988803135425868
"254",4,"STANDING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"Y",-0.961036778328076
"255",4,"STANDING","STD","Time","Gravity","Accelerometer",FALSE,FALSE,"Z",-0.944176363769716
"256",4,"STANDING","STD","Time","Gravity","Accelerometer",TRUE,FALSE,NA,-0.933475981861199
"257",4,"STANDING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"X",-0.92882859362776
"258",4,"STANDING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"Y",-0.957430522902208
"259",4,"STANDING","STD","Time",NA,"Gyroscope",FALSE,FALSE,"Z",-0.942977351451104
"260",4,"STANDING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"X",-0.959018554195584
"261",4,"STANDING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"Y",-0.978899681451104
"262",4,"STANDING","STD","Time",NA,"Gyroscope",FALSE,TRUE,"Z",-0.970606561892745
"263",4,"STANDING","STD","Time",NA,"Gyroscope",TRUE,FALSE,NA,-0.914061186246057
"264",4,"STANDING","STD","Time",NA,"Gyroscope",TRUE,TRUE,NA,-0.968790111608833
"265",5,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"X",-0.292536258471358
"266",5,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Y",-0.0161502026278974
"267",5,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,FALSE,"Z",-0.0706471293802864
"268",5,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"X",-0.26186213195298
"269",5,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Y",-0.268242737526656
"270",5,"WALKING","Mean","Freq","Body","Accelerometer",FALSE,TRUE,"Z",-0.314078867573013
"271",5,"WALKING","Mean","Freq","Body","Accelerometer",TRUE,FALSE,NA,-0.0224368098811755
"272",5,"WALKING","Mean","Freq","Body","Accelerometer",TRUE,TRUE,NA,-0.0336067995803311
